Date,U.K. pound (GBP),U.S. dollar (USD)
03-Jan-2000,,0.726696
04-Jan-2000,1.18701,0.723608
05-Jan-2000,1.18624,0.723627
06-Jan-2000,1.19474,0.724439
07-Jan-2000,1.19596,0.727113
10-Jan-2000,1.19139,0.727964
11-Jan-2000,1.19558,0.727992
12-Jan-2000,1.19797,0.727408
13-Jan-2000,1.19838,0.727922
14-Jan-2000,1.19848,0.728693
17-Jan-2000,1.19365,0.730418
18-Jan-2000,1.19517,0.73166
19-Jan-2000,1.19893,0.732035
20-Jan-2000,1.20319,0.730754
21-Jan-2000,1.20633,0.728903
24-Jan-2000,1.20927,0.730897
25-Jan-2000,1.20611,0.732883
26-Jan-2000,1.20474,0.733032
27-Jan-2000,1.20072,0.733533
28-Jan-2000,1.19748,0.735643
31-Jan-2000,1.20018,0.739166
01-Feb-2000,1.19795,0.743465
02-Feb-2000,1.19645,0.744247
03-Feb-2000,1.19075,0.74417
04-Feb-2000,1.17853,0.741912
07-Feb-2000,1.18461,0.743729
08-Feb-2000,1.1871,0.742725
09-Feb-2000,1.19401,0.740652
10-Feb-2000,1.19167,0.74086
11-Feb-2000,1.19037,0.744681
14-Feb-2000,1.17944,0.741878
15-Feb-2000,1.18051,0.744331
16-Feb-2000,1.19019,0.74368
17-Feb-2000,1.19601,0.74217
18-Feb-2000,1.1949,0.744673
21-Feb-2000,1.19247,0.745665
22-Feb-2000,1.19295,0.742117
23-Feb-2000,1.19165,0.741027
24-Feb-2000,1.18957,0.743389
25-Feb-2000,1.18945,0.746297
28-Feb-2000,1.18728,0.746809
29-Feb-2000,1.18922,0.74667
01-Mar-2000,1.18328,0.746737
02-Mar-2000,1.17818,0.743895
03-Mar-2000,1.1781,0.746249
06-Mar-2000,1.17648,0.745927
07-Mar-2000,1.17655,0.747441
08-Mar-2000,1.17951,0.747332
09-Mar-2000,1.17708,0.745084
10-Mar-2000,1.17683,0.745256
13-Mar-2000,1.17173,0.741977
14-Mar-2000,1.16875,0.743623
15-Mar-2000,1.16955,0.743754
16-Mar-2000,1.1685,0.742802
17-Mar-2000,1.17117,0.743599
20-Mar-2000,1.16706,0.744914
21-Mar-2000,1.16853,0.744095
22-Mar-2000,1.17077,0.747048
23-Mar-2000,1.17841,0.746677
24-Mar-2000,1.18159,0.743884
27-Mar-2000,1.18725,0.742495
28-Mar-2000,1.18002,0.74402
29-Mar-2000,1.18063,0.744455
30-Mar-2000,1.1831,0.743904
31-Mar-2000,1.1843,0.74246
03-Apr-2000,1.1845,0.743755
04-Apr-2000,1.18979,0.744179
05-Apr-2000,1.18244,0.741899
06-Apr-2000,1.1797,0.742601
07-Apr-2000,1.17783,0.744145
10-Apr-2000,1.17868,0.74605
11-Apr-2000,1.18269,0.745756
12-Apr-2000,1.17929,0.744593
13-Apr-2000,1.18288,0.744931
14-Apr-2000,1.18068,0.745617
17-Apr-2000,1.1777,0.741581
18-Apr-2000,1.17791,0.744338
19-Apr-2000,1.17829,0.745709
20-Apr-2000,1.18105,0.747312
21-Apr-2000,,0.749102
24-Apr-2000,,0.748444
25-Apr-2000,1.18128,0.750256
26-Apr-2000,1.18764,0.753481
27-Apr-2000,1.18475,0.753321
28-Apr-2000,1.18867,0.75803
01-May-2000,,0.759726
02-May-2000,1.18789,0.759372
03-May-2000,1.19223,0.762537
04-May-2000,1.18595,0.763797
05-May-2000,1.17379,0.763391
08-May-2000,1.16963,0.764913
09-May-2000,1.1739,0.764956
10-May-2000,1.16177,0.761919
11-May-2000,1.14513,0.76337
12-May-2000,1.15521,0.763171
15-May-2000,1.15401,0.76238
16-May-2000,1.14776,0.76431
17-May-2000,1.14552,0.768493
18-May-2000,1.14013,0.768955
19-May-2000,1.1391,0.768158
22-May-2000,1.13609,0.764067
23-May-2000,1.12782,0.762041
24-May-2000,1.12568,0.762914
25-May-2000,1.12981,0.764674
26-May-2000,1.12343,0.762059
29-May-2000,,0.758747
30-May-2000,1.13315,0.754883
31-May-2000,1.13241,0.757567
01-Jun-2000,1.13523,0.758892
02-Jun-2000,1.13461,0.758276
05-Jun-2000,1.14029,0.754408
06-Jun-2000,1.13951,0.752895
07-Jun-2000,1.13966,0.748297
08-Jun-2000,1.13666,0.748688
09-Jun-2000,1.13242,0.751341
12-Jun-2000,1.13378,0.751197
13-Jun-2000,1.13496,0.750038
14-Jun-2000,1.12738,0.749784
15-Jun-2000,1.13124,0.750957
16-Jun-2000,1.13284,0.749731
19-Jun-2000,1.13227,0.747618
20-Jun-2000,1.13002,0.749945
21-Jun-2000,1.13166,0.750984
22-Jun-2000,1.13309,0.752932
23-Jun-2000,1.12922,0.751512
26-Jun-2000,1.13122,0.754546
27-Jun-2000,1.12785,0.753254
28-Jun-2000,1.13216,0.752465
29-Jun-2000,1.13673,0.748243
30-Jun-2000,1.1308,0.747787
03-Jul-2000,1.13456,0.751413
04-Jul-2000,1.13705,0.751672
05-Jul-2000,1.13565,0.750201
06-Jul-2000,1.13377,0.750942
07-Jul-2000,1.13856,0.753018
10-Jul-2000,1.13915,0.751714
11-Jul-2000,1.13581,0.750952
12-Jul-2000,1.14021,0.753263
13-Jul-2000,1.13556,0.756084
14-Jul-2000,1.13566,0.757511
17-Jul-2000,1.13514,0.757011
18-Jul-2000,1.13346,0.757154
19-Jul-2000,1.13849,0.760614
20-Jul-2000,1.13652,0.760571
21-Jul-2000,1.14613,0.757223
24-Jul-2000,1.15123,0.757485
25-Jul-2000,1.14556,0.756247
26-Jul-2000,1.14866,0.756544
27-Jul-2000,1.14662,0.756748
28-Jul-2000,1.14674,0.759684
31-Jul-2000,1.14075,0.761414
01-Aug-2000,1.14168,0.761475
02-Aug-2000,1.13665,0.763623
03-Aug-2000,1.13657,0.765161
04-Aug-2000,1.14735,0.764034
07-Aug-2000,1.14994,0.763368
08-Aug-2000,1.15177,0.763922
09-Aug-2000,1.14786,0.764984
10-Aug-2000,1.14608,0.763953
11-Aug-2000,1.14755,0.76234
14-Aug-2000,1.1506,0.765127
15-Aug-2000,1.14859,0.76313
16-Aug-2000,1.14669,0.763546
17-Aug-2000,1.14287,0.762523
18-Aug-2000,1.14178,0.763224
21-Aug-2000,1.14018,0.764708
22-Aug-2000,1.1381,0.766244
23-Aug-2000,1.13479,0.765973
24-Aug-2000,1.13107,0.764597
25-Aug-2000,1.1274,0.764339
28-Aug-2000,,0.763945
29-Aug-2000,1.11894,0.764668
30-Aug-2000,1.11077,0.767954
31-Aug-2000,1.11527,0.766402
01-Sep-2000,1.11309,0.767649
04-Sep-2000,1.11757,0.763573
05-Sep-2000,1.11325,0.767866
06-Sep-2000,1.1133,0.768321
07-Sep-2000,1.10769,0.771478
08-Sep-2000,1.09753,0.771498
11-Sep-2000,1.09624,0.775876
12-Sep-2000,1.08925,0.776205
13-Sep-2000,1.0924,0.77618
14-Sep-2000,1.09647,0.775052
15-Sep-2000,1.09597,0.777282
18-Sep-2000,1.0897,0.778748
19-Sep-2000,1.0928,0.779013
20-Sep-2000,1.10106,0.779401
21-Sep-2000,1.10116,0.777763
22-Sep-2000,1.12554,0.771341
25-Sep-2000,1.12503,0.770727
26-Sep-2000,1.12164,0.770728
27-Sep-2000,1.12764,0.769509
28-Sep-2000,1.12756,0.769248
29-Sep-2000,1.13268,0.770481
02-Oct-2000,1.13603,0.770401
03-Oct-2000,1.12967,0.772426
04-Oct-2000,1.12645,0.773661
05-Oct-2000,1.1263,0.774517
06-Oct-2000,1.12295,0.774557
09-Oct-2000,1.12211,0.77547
10-Oct-2000,1.12552,0.772915
11-Oct-2000,1.12903,0.772623
12-Oct-2000,1.12947,0.773396
13-Oct-2000,1.13841,0.773058
16-Oct-2000,1.12485,0.778337
17-Oct-2000,1.11811,0.779228
18-Oct-2000,1.12594,0.777799
19-Oct-2000,1.12658,0.779696
20-Oct-2000,1.1289,0.779841
23-Oct-2000,1.13691,0.781648
24-Oct-2000,1.13493,0.781203
25-Oct-2000,1.12837,0.782882
26-Oct-2000,1.11765,0.784151
27-Oct-2000,1.1239,0.783422
30-Oct-2000,1.13848,0.778022
31-Oct-2000,1.13238,0.781651
01-Nov-2000,1.12429,0.777947
02-Nov-2000,1.1264,0.774901
03-Nov-2000,1.12052,0.772669
06-Nov-2000,1.1193,0.773422
07-Nov-2000,1.11029,0.776152
08-Nov-2000,1.10656,0.778061
09-Nov-2000,1.10246,0.778735
10-Nov-2000,1.1079,0.776166
13-Nov-2000,1.1111,0.776614
14-Nov-2000,1.11321,0.777108
